id,description,host_id,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,neighbourhood,latitude,longitude,property_type,room_type,accommodates,Accomodation Bin,bathrooms_text,bathrooms,private_shared,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable
20083,"Enjoy A Stay in One of the Most Idyllic and Concealed Streets in SÃ¶dermalm - In The Middle of Stockholm! The House From 1925 IS Included In A Culturally Protected Block, Formed Around A Beautiful Park.    The space   Light and Fresh One Room Apartment On The Top Floor In A House Built in 1925.   The Flat Caters for 2 Adults Wishing to Discover The City of Stockholm and PERHAPS The SURROUNDING ARCHIPELAGO AND ITS BEAUTIFUL ISLANDS. Check Out My 'guidebook' for more info on Local Restaurants, Shopping and Activities!   - Living Room: With One Wide Bed (130 cm) and Sofa Bed. 42 'TV and Stereo  - Kitchen: Fully Equipped With Plenty of Space for Preparing Breakfast / Dinners. Stove, Fridge, Freezer, Dishwasher, Microwave, Toaster.  - Bathroom with shower.  - Toilet.  - Laundry Room on the Bottom Floor of the Building.  - Stunning Backyard With Barbeque and Sitting Areas.  - A Possibility to Borrow Two Bikes During The Stay.  <br /",75962,"Stockholm, Stockholm, Sweden",a few days or more,0%,0%,f,1,SÃ¶dermalms,59.30833,18.08615,Entire rental unit,Entire home/apt,3,2 to 3 People,1 bath,1,Private,1,1,"[""Iron"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Hair dryer"", ""TV with standard cable"", ""Kitchen"", ""Cable TV"", ""Heating"", ""Dryer"", ""Washer"", ""Dedicated workspace""]",152.09,4,28,28,58,88,363,12,5,5,4.9,5,4.9,5,4.9,f
75590,"Apartment On The Top Floor, Overlooking A Lake And Forest, On The Outskirts of Stockholm City! Go Swimming Right Outside the Door. Or take a 10 minute bus ride to old town. Also For Long Term Rentals â € ""Included In The Price Is Full Cleaning Service Every 2 Weeks!    The space   Apartment With Balcony On The Top Floor, Overlooking A Lake and Forest, On The Outskirts of Stockholm City.   The Apartment and Area Is Great for Families with Kids. THERE'S ALSO A HIGH QUALITY BABY BED AUTILABLE FOR YOU! For Long Term - Cleaners Will Come Every 2 Weeks To Clean For You, Included In Your Stay!   Welcome!   About The Apartment   The Apartment has Big Windows and Beautiful Sunlight Both Morning and Evenings. Plus wonderful views. Open Planning Between (fullly equipped) Kitchen and Livingroom.   - Master Bedroom with Comfortable 160 cm Bed  - Extra room with high quality 120 cm Futon  - Free Every Two Weeks Cleaners Come And",397766,"Stockholm, Stockholm County, Sweden",N/A,N/A,0%,f,1,SkarpnÃ¤cks,59.30117,18.12833,Entire rental unit,Entire home/apt,3,2 to 3 People,1 bath,1,Private,2,1,"[""Iron"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Elevator"", ""Fire extinguisher"", ""Long term stays allowed"", ""Hair dryer"", ""TV"", ""Essentials"", ""Kitchen"", ""Shampoo"", ""Heating"", ""Dryer"", ""Washer"", ""Dedicated workspace"", ""Carbon monoxide alarm""]",131.93,30,100,0,26,56,146,10,4.8,5,4.89,4.89,5,4.78,4.78,f
155220," The Space   About The House:   Modern Villa Built in 2010. Luxurious and Stylish Furnished. The House Has Two Bedrooms for Total 4 People - One with a bed 160 cm and the other with a bed 90 cm. Fully Equipped Kitchen and Bathroom with Hot Tub. Access to Wireless Highspeed Internet, Big Flatscreen TV, Sourround System, Washing Machine and Dry Tumbler.   WE ALSO HAVE A NICE GARDEN AND A BIG TERRACE WITH BOTH A LOUNGE AREA AND A DINING GROUP FOR FOUR PEOPLE. < br />  garage and parking on the property.   There is a guest house with a bed 120 cm, which can ask possibble to clean.   About the Area:   The House is situated in a Calm FamilyFriendly Area Very Close to the Nature, A National Park, Swimming Lakes and A Big Forest. IT's A Good Area For Sport Activities.  Only 5 Minute by Walk To The Bus Stop And The Local Mall With Restaurants, Cafe ©, Library, Food Shop and Pharmacy.  10 Minute Downtown by Car.  15 minutes to cit",746396,"Stockholm, Stockholm County, Kingdom of Sweden",within a few hours,100%,50%,f,2,SkarpnÃ¤cks,59.24615,18.1787,Entire residential home,Entire home/apt,3,2 to 3 People,1 bath,1,Private,2,3,"[""Iron"", ""Wifi"", ""Free street parking"", ""Luggage dropoff allowed"", ""Children\u2019s books and toys"", ""Hot tub"", ""Dryer"", ""Indoor fireplace"", ""Long term stays allowed"", ""Cable TV"", ""Dedicated workspace"", ""Bed linens"", ""Smoke alarm"", ""Free parking on premises"", ""Hot water"", ""Hangers"", ""Hair dryer"", ""TV with standard cable"", ""Pocket wifi"", ""Essentials"", ""Kitchen"", ""Heating"", ""Washer""]",166.83,3,730,22,52,82,82,0,,,,,,,,f
155685,"This Apartment is Located in the Center of Funky Hornstull. IT HAS Great Public Transport Access Including Direct BUS Line from the Airport. Apartment is Clean and Has All The Facilities You Need For A Great Stay in Stockholm.    The space   46 SQM Apartment in Hornstulls, Södermalm Stockholm. Nice Apartment with Open Solution. The Apartment Consist of One Larger Room with Fully Equipped Kitchen, There is Also One Bedroom and Bathroom As Well. Air BNB Guests Are Quite Otten Optimistic About The Decoration In The Apartment, It's A Mix of Minimalism and Ethno Elements.   The Apartment Has A Great Urban View and Open Water Outside the window. Hornstull is A Nice Upcoming Area on Södermalm, IT IS Very Close to Nature, Parks, Night Life ©, Cafes, Restaurants and More. The Apartment is a Great Basecamp for Exploring Stockholm. IT TAKES YOU ONLY 12 MINUTES TO GET IN TO THE CITY CENTER (WITH THE SUBWAY), YOU CAN WALK TO OLD TOWN ON 35 MIN OR TAKE A BIKE, IT WILL",748592,"Stockholm, Stockholm County, Sweden",N/A,N/A,N/A,f,1,SÃ¶dermalms,59.31493,18.03211,Entire rental unit,Entire home/apt,2,2 to 3 People,1 bath,1,Private,2,2,"[""Elevator"", ""Wifi"", ""Long term stays allowed"", ""TV"", ""Kitchen""]",430.42,4,365,0,0,27,27,22,4.68,4.65,4.9,4.95,4.95,4.65,4.65,f
164448,"In Am Renting Out A Nice Double Room On The Top Floor In A Large Duplex Apartment In The Center of Stockholm at Södermalm. CLOSE TO METRO AND BUS AND WALKING DISTANCE TO MOST OF THE SIGHTS.    The space   Room:  The room has a twin / double bed ( 2x90x200cm, in the US IT is USUally Called King Size), Table, Wardrobe and Bookshelves. The Bed Linen and Towels are included.   The Room is Located on the top floor in the apartment, where the guests share a Large TV Room. In The TV Room You Can Also Find A Micro, A Fridge and A Water Kettle to Make Coffee and Tea.   THERE IS ONE BATHROOM SHARED BETWEEN THE BEDROOMS ON THE ULLER FLOOR.   SÃ-Dermalm:  SÃ¶dermalm Has A Lot of Nice Restaurants, Pubs, Cinema and Shopping. From The Apartment It Takes A Few Mins Walk To The Trendy Area Of Sofo And 15 Mins Walk To The Old Town (Old Town).   Public Transportation:  - 7 mins Walk to Underground Mariatorget (Red Line) OR citizensplatsen",784312,"Stockholm, Stockholm, Sweden",within an hour,100%,97%,t,2,SÃ¶dermalms,59.31389,18.06087,Private room in rental unit,Private room,2,2 to 3 People,1 shared bath,1,Shared,1,2,"[""Iron"", ""Elevator"", ""Wifi"", ""Lock on bedroom door"", ""Luggage dropoff allowed"", ""Microwave"", ""Dryer"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Refrigerator"", ""Dedicated workspace"", ""Bed linens"", ""Smoke alarm"", ""Dishes and silverware"", ""Bathtub"", ""TV"", ""Shampoo"", ""Hot water"", ""Hangers"", ""Hair dryer"", ""Essentials"", ""Heating"", ""Washer""]",89.39,3,300,27,57,87,177,322,4.85,4.87,4.84,4.96,4.97,4.82,4.76,t
170651," The Space   Welcome to this Beautiful, Small, and Charming Flat in One of the Coolest Areas in Stockholm. The House is situated in the Western Part of SÃ¶dermalm. IT IS Very Close to Café, Restaurants, Bars and Also to the Beach. IT IS WALKING DISTANCE TO PRETY MUCH EVERYWHERE, BUT IF YOU STILL WANT TO TAKE THE TUBE, IT IS ONLY 4 MINUTES BY WALK TO THE STATION ""HORNSTAL T-BANA"".   THERE IS ONE AND A HALF ROOM IN THE APARTMENT, WITH TWO BEDS WHERE 3-4 PEOPLE CAN SLEEP. IT IS A PERFECT PLACE IF YOU ARE A COUPLE OR A SMALL FAMILY!  The Kitchen Is Fully Equipped with Stove, Refrigerator and Dishwasher. The Bathroom has a Bath Tub. There is ALSO A 7 METERS TERASS WITH A BEATIFUL VIEW (TOP FLOOR), WHERE YOU CAN ENJOY THE SUN DURING THE SUMMER.   There is a sofa in the Apartments Now and a Higher Bed Than The First Fotos Showes (Scroll Down) and Probably A Catâ € £  Let Me Know If You Have Any Questions!   Welcome Ðÿ¤ ©",814021,"SÃ¶dermalm, Stockholm County, Sweden",within a few hours,100%,54%,f,1,SÃ¶dermalms,59.31702,18.02946,Entire rental unit,Entire home/apt,4,4 to 6 People,1.5 baths,1.5,Private,1,2,"[""Hangers"", ""Elevator"", ""Dishes and silverware"", ""Long term stays allowed"", ""Hair dryer"", ""Extra pillows and blankets"", ""Essentials"", ""Kitchen"", ""Coffee maker"", ""Shampoo"", ""Heating"", ""Dryer"", ""Washer"", ""Bed linens"", ""Hot water""]",671.49,4,30,4,12,15,151,39,4.65,4.83,4.51,4.89,4.91,4.83,4.71,f
206221," The Space   The region is situated at One of Stockholms Most Popular Areas, Called ""Sofo"", Only Three Stops from the Central Station. The Apartment IS 96 m2. The House Is From 1912. Ouside Is A Long Nice All With Beautiful Trees And The Apartment Is High Up At The Fourth Floor. There is Plenty of Restaurants Nearby, Coffeeshops, Theaters, Museums, Art Galleries and of Course Shoping Centers. IT.S ONLY ABOUT 10-15 MINUTES WALK TO THE OLD Town and The Inner City.   The apartment has a big  Kitchen with a nice balcony.  If you like you can use the microwave and you can Also Get Some Space in the Fridge.   Two Bedrooms  YOURS ARE SITUATED DOWN AT A CORRIDOOR, More Or Less by Itself.   One Very Bright Bathroom  Situated in the Hallway With Two Big Windows (Chared Only With Me)   The Public Transports Are Very Good. You have The Undergoround and Buses That Easily Takes You To Places You Like to See.  You als",1022374,Sweden,within a day,50%,0%,f,1,SÃ¶dermalms,59.31074,18.08128,Shared room in rental unit,Shared room,2,2 to 3 People,1 shared bath,1,Shared,1,2,"[""Iron"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Elevator"", ""Hair dryer"", ""Essentials"", ""First aid kit"", ""Breakfast"", ""Shampoo"", ""Heating"", ""Dedicated workspace"", ""Bed linens"", ""Hot water""]",93.01,3,14,2,3,31,300,79,4.92,4.83,4.83,4.94,4.9,4.94,4.83,f
220851,"Welcome!    The space   Welcome!   One Big Bedroom, Quiet and Clean!   Kitchen , Bathroom.     Many Restaurant Wery Close and WalkingDistance to City.   3 min walk   Kitchen, Bathroom .   Many Restaurant Wery Close and WalkingDistance to City.   3 min walk   Kitchen, Bathroom.   Many Restaurant's Wery Close and Walking Distance To City.   3 min walk   Kitchen, Bathroom.   Many Restaurant Wery Close and WalkingDistance to City.   3 min walk   Kitchen, Bathroom.   Many Restaurant Wery Close and WalkingDistance to City.   3 min walk < BR />   Guest Access   Kitchen, Bathroom.",412283,"Stockholm, Stockholm, Sweden",within a day,83%,63%,f,2,Kungsholmens,59.33351,18.03693,Private room in rental unit,Private room,1,1 Person,1 shared bath,1,Shared,1,1,"[""Hangers"", ""Wifi"", ""Dishes and silverware"", ""Elevator"", ""Waterfront"", ""Backyard"", ""Essentials"", ""Kitchen"", ""Cooking basics"", ""Oven"", ""Refrigerator"", ""Stove"", ""BBQ grill"", ""Heating"", ""Dryer"", ""Washer"", ""Dedicated workspace"", ""Bed linens"", ""Hot water""]",66.59,3,20,4,29,59,334,51,4.65,4.72,4.6,4.92,4.88,4.82,4.69,f
238411," The space   This is a cozy, fully equipped self catering apartment located in a Quiet Backyard Building in Central Stockholm's Most Popular Area ""Vasastan"".   IDEAL LOCATION FOR SIGHTSEEING.   Very close to the Royal Institute of Technology, Stockholm School of Economics and The Stockholm Public Library.   THE SUBWAY IS ON THE NEXT BLOCK AS WELL AS MANY BUSES.  Airport Bus from Stockholm Arlanda Stops About Three Blocks away; A 5-10 Minute Walk.   Four Supermarkets Are Located Within A Couple of Blocks. All Are Open Until 10 or 11pm.  There is a 7 Eleven Convenience Store One Block Away WHICH IS OPEN 6 AM TO 2 AM EVERY DAY.  You Can Buy All Types of Local Transportation Tickets There As Well As Bicycle Passes and The Stockholm Tourist Card.  In Suggest You Get A 24 Hour, 72 Hour OR 7 Day Unlimited Subway / Bus Pass If You Plan On Using Public Transportation - IT IS Very Good Value. Single Tickets Are Expensive. ",1250232,"Stockholm, Stockholm County, Kingdom of Sweden",within an hour,100%,0%,f,1,Norrmalms,59.33872,18.05131,Entire rental unit,Entire home/apt,2,2 to 3 People,1 bath,1,Private,1,2,"[""Iron"", ""Wifi"", ""Luggage dropoff allowed"", ""Microwave"", ""Coffee maker"", ""Dryer"", ""Long term stays allowed"", ""Backyard"", ""Extra pillows and blankets"", ""Cable TV"", ""Refrigerator"", ""Dedicated workspace"", ""Bed linens"", ""Smoke alarm"", ""Dishes and silverware"", ""Bathtub"", ""Shower gel"", ""Cooking basics"", ""Oven"", ""Stove"", ""Shampoo"", ""Hot water"", ""Hangers"", ""Room-darkening shades"", ""Hair dryer"", ""TV with standard cable"", ""Essentials"", ""Kitchen"", ""Heating"", ""Washer""]",152.09,1,60,26,56,86,86,111,4.79,4.65,4.71,4.85,4.95,4.85,4.63,f
242188,"In Am Renting Out A Nice Single Room On The Top Floor In A Large Duplex Apartment in the Center of Stockholm at Södermalm. (See My Other Ad IF You would like to have a double room).   Close to Public Transportation, Old Town, Restaurants and Bars.    The Space < / b>  Room:  The room has a single bed (105x200cm), Table, Wardrobe and Bookshelves. The Bed Linen and Towels are included. The Room is Located On The Top Floor In The Apartment, Where The Guests Share A Large TV Room. In The TV Room You Can Also Find A Micro, A Fridge and A Water Kettle to Make Coffee and Tea. THERE IS ONE BATHROOM SHARED BETWEEN THE BEDROOMS ON THE ULLER FLOOR.   SÃ-Dermalm:  SÃ¶dermalm Has A Lot of Nice Restaurants, Pubs, Cinema and Shopping. From The Apartment It Takes A Few Mins Walk To The Trendy Area Of Sofo And 15 Mins Walk To The Old Town (Old Town).   Public Transportation:  - 7 mins Walk to Underground Mariatorget (Red Line) or citizenplatsen (GRE",784312,"Stockholm, Stockholm, Sweden",within an hour,100%,97%,t,2,SÃ¶dermalms,59.31198,18.06076,Private room in rental unit,Private room,1,1 Person,1 shared bath,1,Shared,1,1,"[""Iron"", ""Elevator"", ""Wifi"", ""Lock on bedroom door"", ""Microwave"", ""Dryer"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Refrigerator"", ""Dedicated workspace"", ""Bed linens"", ""Smoke alarm"", ""Dishes and silverware"", ""Bathtub"", ""TV"", ""Shampoo"", ""Hot water"", ""Hangers"", ""Host greets you"", ""Hair dryer"", ""Paid parking off premises"", ""Essentials"", ""Heating"", ""Washer""]",79.38,2,300,29,59,89,179,324,4.88,4.88,4.85,4.96,4.97,4.87,4.82,t
